53581003,The Green Book (Sunburst Book),5,"Walsh, Jill Paton",,,,"Farrar, Straus and Giroux (BYR) (1986), Paperback, 64 pages",1986,,,,,The Green Book (Sunburst Book) by Jill Paton Walsh (1986),80 p.; 7.96 inches,0.18 pounds,7.96 inches,0.2 inches,5.1 inches,7.96 x 5.1 x 0.2 inches,80 ,,,,,,_Fantasy,BookEnds,English,Swedish,PZ7.P2735Gr,[0374428026],"0374428026, 9780374428020",Life on other planets > Fiction|Science Fiction|Science fiction|science fiction,823.914,1945-1999 > 20th Century > English fiction > English literature > Literature > Modern Period,1,amazon.com,[2009-11-28],,486477
53581125,The Cross and the Switchblade By David Wilkerson (Mass Market Paperback),5,"WILKERSON, DAVID",,,,"SOFTCOVER (no date), Paperback",no date,,,,,The Cross and the Switchblade By David Wilkerson (Mass Market Paperback) by DAVID WILKERSON (no date),,,,,,,,,,,,,_Missionary Biographies,BookEnds,English,German,BV4464.5.W5,[],,"Church work with juvenile delinquents|Church work with juvenile delinquents > United States|Wilkerson, David R",259.5097471,Christian pastoral practice and religious orders > Other Ministrations and Work > Prison ministry > Religion ,1,amazon.com,[2009-11-28],,34333
53581326,Crazy Lady! (Trophy Newbery),1,"Conly, Jane Leslie",,,,"HarperCollins (1995), Paperback, 192 pages",1995,,,,,Crazy Lady! (Trophy Newbery) by Jane Leslie Conly (1995),192 p.; 7.5 inches,0.3 pounds,7.5 inches,0.5 inches,5.1 inches,7.5 x 5.1 x 0.5 inches,192 ,,,,,,_Historical Fiction,BookEnds,English,,PZ7.C761846Cr,[0064405710],"0064405710, 9780064405713",Alcoholics > Fiction|Death > Fiction|Interpersonal relations > Fiction|People with mental disabilities > Fiction|Prejudices > Fiction,813,American Fiction > American literature > Literature,1,amazon.com,[2009-11-28],,91802
53581478,Follow My Leader,1,"Garfield, James B.",,,,"Puffin (1994), Paperback, 192 pages",1994,,,,,Follow My Leader by James B. Garfield (1994),192 p.; 7.74 inches,0.37 pounds,7.74 inches,0.52 inches,5.08 inches,7.74 x 5.08 x 0.52 inches,192 ,,,,,,_Historical Fiction,BookEnds,English,,PZ7.G1794Fo,[0140364854],"0140364854, 9780140364859",Blind > Fiction|Dogs > Fiction|Guide dogs > Fiction,813.54,20th Century > American Fiction > American literature > Later 20th Century 1945- > Literature,1,amazon.com,[2009-11-28],,4269
53581503,God's Smuggler,1,"Andrew, Brother",,,,"Spire Books (1977), Mass Market Paperback, 224 pages",1977,,,,,God's Smuggler by Brother Andrew (1977),,,,,,,,,,,,,_Missionary Biographies,BookEnds,English,German,BV2372.A7A3,[],,"Andrew, Brother|Bible > Publication and distribution > Europe, Eastern|Missionaries > Europe, Eastern > Biography|Missionaries > Holland > Biography|Missionaries > Netherlands > Biography|Missions > Europe, Eastern",266.0092,"Christian organization, social work, worship > Missions; Home and Foreign > Religion ",1,amazon.com,[2009-11-28],,65800
53581751,Call It Courage,1,Sperry,,,,"MacMillan Publishing Co (1940), Hardcover",1940,,,,,Call It Courage by Sperry (1940),128 p.; 9.32 inches,0.85 pounds,9.32 inches,0.7 inches,7.14 inches,9.32 x 7.14 x 0.7 inches,128 ,,,,,,_Historical Fiction,BookEnds,English,Spanish,PZ8.1.S75Cal,[],,Courage > Folklore|Folklore > Polynesia|Large type books|Survival > Folklore,398.2,"Customs, Etiquette, Folklore > Folk literature > Folklore > Social Sciences ",1,amazon.com,[2009-11-28],,105728
53582003,THE APPLE AND THE ARROW THE LEGEND OF WILLIAM TELL,5,"Buff, Mary and Conrad",,Drawings,Illustrator,"Scholastic Book Services (1967), Paperback",1967,,,,,THE APPLE AND THE ARROW THE LEGEND OF WILLIAM TELL by Mary and Conrad Buff (1967),,,,,,,,,,,,,"water damaged, _In-Between Readers",BookEnds,English,,PZ7.B89Ap,[],,"Fathers and sons > Fiction|Switzerland > History > 1032-1499 > Fiction|Tell, Wilhelm > Juvenile fiction|Tell, William > Fiction",398.2,"Customs, Etiquette, Folklore > Folk literature > Folklore > Social Sciences ",1,amazon.com,[2009-11-28],,4578
53582868,Shadrach (Harper Trophy Books),1,"Dejong, Meindert",,"Sendak, Maurice",Illustrator,"HarperCollins (1980), Paperback, 192 pages",1980,,,,,Shadrach (Harper Trophy Books) by Meindert Dejong (1980),192 p.; 7.56 inches,0.31 pounds,7.56 inches,0.47 inches,5.04 inches,7.56 x 5.04 x 0.47 inches,192 ,,,,,,_Historical Fiction,BookEnds,English,,PZ10.3.D372Sh,[0064401154],"0064401154, 9780064401159",,813.52,20th Century > American Fiction > American literature > Early 20th Century 1901- > Literature,1,amazon.com,[2009-11-28],,404198
53582893,Walkabout,1,"Marshall, James Vance",,,,"Belmont Books (1971), Paperback, 158 pages",1971,,,,,Walkabout by James Vance Marshall (1971),,,,,,,,,,,,,_Historical Fiction,BookEnds,English,German,PZ4.P344PR6066.A9Wal,[],,"Adventure stories|Australia > Description and travel > Periodicals|Children's stories, Australian|Children, Aboriginal Australian > Juvenile fiction|Intercultural communication > Juvenile fiction|Outback Australia > Juvenile fiction|Survival after airplane accidents, shipwrecks, etc. > Juvenile fiction|adventure stories",823,English fiction > English literature > Literature,1,amazon.com,[2009-11-28],,93636
53582910,Where the Red Fern Grows,1,"Rawls, Wilson",,"Rawls, Wilson",,"Yearling (1996), Paperback, 208 pages",1996,,,,,Where the Red Fern Grows by Wilson Rawls (1996),208 p.; 7.64 inches,0.33 pounds,7.64 inches,0.58 inches,5.25 inches,7.64 x 5.25 x 0.58 inches,208 ,,,,,,_Historical Fiction,BookEnds,English,Turkish,PZ4.R261Wh,[0440412676],"0440412676, 9780440412670",Dogs > Fiction|Dogs > Juvenile sound recordings|Hounds > Fiction|Hounds > Juvenile sound recordings|Large Type Books|Large type books|Ozark Mountains > Fiction|Ozark Mountains > Juvenile sound recordings,813.54,20th Century > American Fiction > American literature > Later 20th Century 1945- > Literature,1,amazon.com,[2009-11-28],,6346
53583088,The Terrible Wave,5,"Dahlstedt, Marden",,,,"Richard R. Dahlstedt the Attic (1989), Paperback, 125 pages",1989,,,,,The Terrible Wave by Marden Dahlstedt (1989),125 p.; 9 inches,0.49 pounds,9 inches,0.5 inches,5.6 inches,9 x 5.6 x 0.5 inches,125 ,,,,,,_Historical Fiction,BookEnds,English,,PZ7.D1517Te,[0962182702],"0962182702, 9780962182709",Floods > Fiction,,,1,amazon.com,[2009-11-28],,360280
53583399,Old Ramon (The Newbery Honor Roll),1,"Schaefer, Jack",,"West, Harold",Illustrator,"Walker Books for Young Readers (1993), Paperback, 112 pages",1993,,,,,Old Ramon (The Newbery Honor Roll) by Jack Schaefer (1993),112 p.; 8.34 inches,0.32 pounds,8.34 inches,0.36 inches,5.5 inches,8.34 x 5.5 x 0.36 inches,112 ,,,,,,_Historical Fiction,BookEnds,English,,PZ7.S332Ol,[0802774032],"0802774032, 9780802774033",California > Fiction|Shepherds > Fiction,823.9,English fiction > English literature > Literature > Modern Period,1,amazon.com,[2009-11-28],,95684
